"","Age","Gender","Country","state","family_history","self_employed","remote_work","tech_company","care_options","wellness_program","seek_help","anonymity","leave","treatment","benefits","supervisor","mental_health_interview","mental_health_consequence","phys_health_interview","mental_vs_physical","obs_consequence"
"299",25,"Male","United States","UT","No","No","No","No","Yes","Yes","Yes","Yes","Very easy","No","Yes","Yes","Maybe","No","Maybe","Yes","No"
"300",22,"Female","United States","NY","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Some of them","No","Maybe","No","Yes","Yes"
"301",29,"Male","Latvia","NY","No","No","No","Yes","Yes","No","No","Don't know","Somewhat easy","No","No","Some of them","No","Maybe","No","Don't know","No"
"302",41,"Male","United States","SD","Yes","No","Yes","Yes","Yes","Don't know","Yes","Yes","Somewhat easy","Yes","Yes","Yes","Maybe","No","Maybe","Yes","No"
"303",29,"Male","United States","CA","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Yes","Some of them","No","Yes","Maybe","No","No"
"304",32,"Male","United States","OR","No","No","No","Yes","Not sure","Don't know","Yes","Yes","Somewhat easy","No","Yes","Yes","Maybe","No","Maybe","Yes","No"
"305",24,"Female","United States","CA","Yes","No","No","Yes","Yes","No","Yes","Yes","Don't know","Yes","Yes","No","No","Maybe","Maybe","Don't know","No"
"306",25,"Male","United States","CA","No","No","No","Yes","No","Don't know","No","Don't know","Don't know","Yes","Yes","No","No","Maybe","No","Don't know","No"
"307",25,"Male","United States","CA","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","No","No","Maybe","Maybe","Don't know","No"
"308",30,"Female","United States","CO","No","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","Yes","Some of them","No","Maybe","No","Don't know","No"
"309",25,"Male","United States","CA","Yes","No","No","Yes","Not sure","Don't know","Yes","Don't know","Don't know","Yes","Don't know","Yes","No","No","No","Yes","No"
"310",30,"Male","United States","OH","No","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","No","No","Some of them","No","Maybe","Maybe","Don't know","No"
"311",33,"Male","Germany",NA,"Yes","Yes","No","No","No","No","No","Don't know","Somewhat difficult","Yes","No","No","Maybe","Yes","No","Yes","Yes"
"312",24,"Male","United States","WA","No","No","No","Yes","Not sure","Yes","Yes","Yes","Very easy","No","Yes","Some of them","No","No","Maybe","Yes","No"
"313",25,"Male","Canada",NA,"Yes","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Yes","Yes","No","No","Yes","No","No","No"
"314",31,"Male","United States","OH","No","No","No","No","No","No","No","Yes","Somewhat easy","No","Don't know","No","No","Maybe","Yes","No","No"
"315",45,"Male","Ireland",NA,"No","Yes","No","Yes","No","No","No","Don't know","Very difficult","Yes","No","No","No","No","No","Don't know","No"
"316",29,"Male","Romania",NA,"No","No","Yes","No","Yes","No","No","Don't know","Don't know","No","No","Some of them","Maybe","Maybe","Maybe","No","No"
"317",46,"Male","United States","WA","No","No","No","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","Yes","Some of them","Maybe","No","Maybe","Don't know","No"
"318",30,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Don't know","No","No","Yes","Maybe","Don't know","No"
"319",29,"Female","United States","CA","No","Yes","No","Yes","Not sure","Don't know","No","Don't know","Very easy","No","Yes","Some of them","No","Maybe","No","Don't know","No"
"320",24,"Male","United States","MA","No","No","No","Yes","Yes","Don't know","Don't know","Yes","Don't know","No","Yes","No","No","Yes","Maybe","Don't know","No"
"321",29,"Male","United States","WA","No","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","No","Yes","Yes","No","No","Maybe","Yes","No"
"322",35,"Male","United States","MI","No","No","No","No","Not sure","No","Don't know","Don't know","Don't know","No","Don't know","Yes","No","No","No","No","No"
"323",33,"Female","United States","WA","Yes","No","Yes","Yes","Yes","No","No","Don't know","Very difficult","No","No","Some of them","No","Yes","Maybe","No","No"
"324",27,"Male","United States","CA","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Very easy","No","Don't know","No","No","Yes","Maybe","No","No"
"325",36,"Male","United States","IA","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","Some of them","No","Maybe","No","Don't know","No"
"326",33,"Male","United Kingdom",NA,"No","No","Yes","Yes","No","No","No","Don't know","Don't know","No","Don't know","No","No","Yes","Maybe","No","No"
"327",25,"Female","United States","WA","Yes","No","No","Yes","Yes","No","No","Yes","Don't know","Yes","Yes","Yes","No","No","No","Don't know","No"
"328",23,"Male","United States","AL","Yes","No","No","No","No","No","No","Don't know","Don't know","Yes","Don't know","Yes","Maybe","No","Yes","Don't know","No"
"329",54,"Male","United States","CA","Yes","No","No","Yes","No","Yes","Yes","Don't know","Don't know","Yes","Don't know","Yes","No","No","No","Don't know","No"
"330",22,"Male","United States","CA","No","No","No","Yes","No","Don't know","Don't know","Don't know","Don't know","No","Don't know","No","No","Maybe","Maybe","Don't know","No"
"331",25,"Trans","United States","CA","Yes","No","No","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Yes","Yes","Some of them","No","Maybe","No","Yes","No"
"332",29,"Male","Belgium",NA,"No","No","No","No","No","No","No","Don't know","Don't know","No","Don't know","Yes","Maybe","Maybe","Maybe","Don't know","No"
"333",27,"Male","United States","MA","No","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","Yes","Yes","No","No","No","Yes","Yes","No"
"334",30,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","Don't know","Don't know","Very easy","No","No","Yes","No","No","Maybe","Yes","No"
"335",26,"Male","United States","CA","Yes","No","No","Yes","Not sure","Don't know","Yes","Don't know","Don't know","Yes","Yes","No","No","Maybe","No","Don't know","No"
"336",25,"Female","Sweden",NA,"Yes","No","No","Yes","Yes","Yes","No","Don't know","Somewhat easy","No","Yes","Yes","No","No","No","No","No"
"337",31,"Male","United States","CA","No","No","No","No","Yes","No","Don't know","Yes","Don't know","Yes","No","No","No","No","No","No","No"
"338",33,"Male","United States","IN","Yes","No","No","Yes","Not sure","No","No","Don't know","Don't know","Yes","Don't know","Some of them","No","Maybe","No","Don't know","No"
"339",34,"Male","United States","WA","Yes","No","No","Yes","Yes","Don't know","Yes","Yes","Don't know","Yes","Yes","No","No","Maybe","No","Don't know","No"
"340",34,"Male","United States","WA","No","No","Yes","Yes","No","No","No","Don't know","Somewhat easy","Yes","No","Some of them","No","Yes","Maybe","Don't know","No"
"341",29,"Male","United States","IN","No","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Maybe","No","Maybe","Yes","No"
"342",33,"Female","United States","WA","No","No","No","Yes","No","No","No","Don't know","Somewhat difficult","No","No","Some of them","No","Maybe","No","Don't know","No"
"343",34,"Male","Germany",NA,"Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Somewhat difficult","Yes","No","Yes","No","No","Maybe","Yes","No"
"344",26,"Male","United States","OK","Yes","Yes","Yes","No","No","No","Don't know","No","Don't know","Yes","No","Yes","No","Maybe","Yes","No","No"
"345",32,"Male","United States","MI","Yes","No","No","No","Yes","Yes","Yes","Yes","Don't know","Yes","Yes","Yes","No","No","Yes","Yes","No"
"346",28,"Male","United States","GA","Yes","No","No","Yes","Not sure","No","Don't know","Don't know","Somewhat difficult","Yes","Don't know","No","No","Maybe","No","No","No"
"347",35,"Male","United States","CA","Yes","No","No","Yes","No","Yes","Yes","Yes","Very easy","No","Yes","Yes","No","No","No","Don't know","No"
"348",36,"Male","United States",NA,"Yes","No","No","Yes","Yes","No","No","Yes","Very easy","Yes","No","Some of them","No","No","No","Don't know","No"
"349",21,"Male","United States","IN","Yes","No","No","Yes","No","No","Don't know","Yes","Don't know","Yes","Yes","Yes","Maybe","No","Maybe","Don't know","No"
"350",21,"Male","United Kingdom",NA,"No","No","No","No","Not sure","No","No","No","Very easy","Yes","Don't know","No","No","Yes","Maybe","No","No"
"351",22,"Female","United States","WA","No","No","No","Yes","No","Yes","Yes","Yes","Somewhat easy","No","Yes","Some of them","No","No","No","Yes","No"
"352",41,"Male","United States","WA","Yes","No","No","Yes","No","Yes","Yes","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
"353",55,"Male","United States","PA","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Yes","Yes","Yes","No","No","No","Yes","No"
"354",32,"Female","United States","WA","No","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Yes","No","Maybe","Maybe","Yes","No"
"355",21,"Female","United States","CA","Yes","No","No","Yes","Not sure","Don't know","No","Don't know","Somewhat easy","Yes","Don't know","No","No","Yes","Yes","Don't know","No"
"356",45,"Male","United States","MA","No","No","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Yes","Yes","Some of them","No","Maybe","Maybe","Don't know","No"
"357",27,"Female","United States","WA","No","No","No","Yes","Yes","No","No","Yes","Don't know","Yes","Yes","No","No","Yes","No","No","No"
"358",25,"Female","United States","WA","Yes","No","Yes","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","Yes","No","Maybe","No","Yes","No"
"359",34,"Female","United States","NY","Yes","No","No","No","Yes","Yes","Yes","Yes","Very difficult","Yes","Yes","Some of them","No","Maybe","No","Yes","No"
"360",26,"Female","United States","CA","Yes","No","No","Yes","Yes","No","Yes","Yes","Don't know","Yes","Yes","No","No","Maybe","No","Don't know","No"
"361",41,"Male","Canada",NA,"No","No","No","Yes","Not sure","No","Don't know","Don't know","Somewhat easy","Yes","Yes","Some of them","No","No","No","Don't know","No"
"362",27,"Male","United States","CA","No","No","No","Yes","No","Yes","Yes","Yes","Don't know","Yes","Yes","Yes","No","No","Maybe","Yes","No"
"363",31,"Male","United States","IN","Yes","No","Yes","Yes","No","No","No","Don't know","Don't know","Yes","Yes","Yes","No","No","No","Don't know","No"
"364",25,"Male","Germany",NA,"Yes","No","Yes","Yes","No","No","No","Yes","Somewhat easy","Yes","No","Yes","No","No","Yes","No","No"
"365",26,"Male","United States","NV","No","No","No","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","No","No","Yes","No","No","No"
"366",27,"Female","United States","CO","Yes","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Yes","Yes","Yes","No","Maybe","No","Don't know","No"
"367",42,"Male","New Zealand",NA,"No","No","No","Yes","Not sure","No","No","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Maybe","Don't know","No"
"368",29,"Trans","United States","CA","Yes","Yes","Yes","Yes","Yes","No","No","Don't know","Very difficult","Yes","Yes","No","No","Yes","Maybe","No","No"
"369",25,"Female","United States","CA","No","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","Don't know","No","No","Yes","Maybe","Don't know","No"
"370",33,"Female","Sweden",NA,"Yes","No","No","Yes","Yes","No","Yes","Yes","Don't know","Yes","Yes","No","No","Maybe","Yes","Don't know","No"
"371",40,"Female","United States","PA","Yes","No","No","No","No","Don't know","Don't know","Don't know","Somewhat easy","Yes","Yes","No","No","Maybe","No","Don't know","No"
"372",31,"Male","United States","SC","No","No","No","Yes","No","No","Don't know","Don't know","Somewhat easy","No","Don't know","No","No","Yes","No","Don't know","No"
"373",26,"Male","Canada",NA,"Yes","No","Yes","Yes","No","Don't know","Don't know","Don't know","Very easy","Yes","Don't know","Yes","No","No","No","Yes","No"
"374",24,"Female","United States","TX","Yes","No","No","No","No","No","No","No","Very difficult","No","No","No","No","Yes","Maybe","No","Yes"
"375",29,"Male","United States","TX","No","No","No","No","Not sure","No","Don't know","Don't know","Don't know","No","Yes","Some of them","No","Maybe","No","Don't know","No"
"376",48,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","No","Don't know","No","No","Maybe","No","No","No"
"377",35,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Don't know","Very difficult","No","No","Yes","No","Maybe","Maybe","No","Yes"
"378",32,"Female","United States","AL","No","No","No","Yes","Not sure","No","No","Don't know","Don't know","No","Don't know","Some of them","No","Maybe","Maybe","Don't know","No"
"379",29,"Male","Canada",NA,"No","No","No","Yes","Not sure","Don't know","Don't know","Yes","Somewhat easy","Yes","Don't know","Some of them","No","Maybe","Maybe","Yes","No"
"380",26,"Male","United States","OR","Yes","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","Yes","No","Maybe","No","No","No"
"381",28,"Male","United States","NJ","Yes","No","No","Yes","Yes","No","No","Don't know","Don't know","Yes","Yes","No","No","Maybe","Maybe","No","No"
"382",23,"Male","United States","CA","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Don't know","Yes","No","No","Maybe","No","No"
"383",35,"Male","United States","CA","Yes","No","No","Yes","Yes","No","No","Don't know","Very difficult","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
"384",29,"Male","Germany",NA,"Yes","No","No","Yes","No","No","No","Don't know","Very easy","Yes","Don't know","Some of them","Maybe","Maybe","Maybe","Don't know","No"
"385",26,"Male","United States","CA","Yes","No","No","Yes","Yes","No","Yes","Yes","Very easy","No","Yes","Yes","Maybe","No","Maybe","No","No"
"386",33,"Male","United States","NH","Yes","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Yes","Some of them","No","Yes","No","Yes","No"
"387",33,"Male","United States","CA","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Don't know","No","Don't know","No","No","Yes","Maybe","Yes","No"
"388",22,"Male","Brazil",NA,"No","Yes","Yes","Yes","No","No","No","Don't know","Somewhat easy","No","Don't know","Yes","Maybe","No","No","Don't know","No"
"389",30,"Female","Spain",NA,"Yes","No","No","Yes","No","No","No","Don't know","Don't know","No","No","No","No","Yes","No","Don't know","No"
"390",33,"Male","United States","OH","Yes","No","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","Yes","Yes","No","No","Yes","No","No","No"
"391",31,"Female","United States","OH","Yes","No","No","No","Not sure","No","Don't know","Don't know","Very difficult","Yes","Don't know","No","No","Yes","Maybe","No","No"
"392",21,"Male","United States","MA","Yes","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","Some of them","No","No","Maybe","Don't know","Yes"
"393",31,"Trans","United Kingdom",NA,"Yes","No","No","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","No","No","Yes","Yes","Yes","No"
"394",26,"Female","United States","OK","No","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Somewhat difficult","Yes","Don't know","Some of them","No","No","No","Yes","No"
"395",30,"Male","United States","CA","Yes","No","No","Yes","No","No","Don't know","Don't know","Somewhat easy","No","Don't know","Yes","No","Maybe","No","Don't know","No"
"396",30,"Trans","Germany",NA,"Yes","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","Don't know","Yes","Maybe","No","Maybe","No","No"
"397",23,"Male","India",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","No","No","Yes","Maybe","No","Maybe","No","No"
"398",34,"Male","Finland",NA,"No","No","No","Yes","No","No","No","Don't know","Somewhat easy","No","No","Yes","No","No","Maybe","Don't know","No"
"399",55,"Male","United States","ID","Yes","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Yes","No","No","No","Yes","No","No","Yes"
"400",28,"Male","Germany",NA,"Yes","No","Yes","Yes","No","No","No","Yes","Very easy","Yes","Yes","Yes","No","No","No","Yes","No"
"401",26,"Male","Uruguay",NA,"No","No","Yes","Yes","No","Don't know","No","Don't know","Don't know","No","Don't know","No","No","No","Yes","Don't know","No"
"402",28,"Male","New Zealand",NA,"Yes","No","Yes","Yes","Yes","Yes","No","Don't know","Very easy","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"403",32,"Male","United Kingdom",NA,"Yes","No","No","Yes","No","No","Don't know","Don't know","Somewhat easy","Yes","No","Yes","No","No","No","Don't know","No"
"404",28,"Female","United States","NY","No","No","No","No","Yes","No","Don't know","Don't know","Don't know","Yes","Yes","No","No","Maybe","No","Don't know","No"
"405",21,"Male","United States","CA","No","No","No","No","Not sure","No","Yes","Yes","Don't know","No","Don't know","Some of them","Maybe","No","Maybe","Yes","No"
"406",24,"Male","United States","TX","Yes","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","Yes","Maybe","No","Yes"
"407",26,"Female","United States","MD","No","No","No","No","Not sure","Yes","Don't know","Don't know","Don't know","No","Yes","No","No","Maybe","No","Don't know","No"
"408",23,"Male","United States","IN","No","No","No","No","No","No","No","Don't know","Don't know","No","Yes","No","No","No","Yes","Don't know","No"
"409",24,"Female","United States","OR","No","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","Yes","Some of them","Yes","No","Yes","Yes","No"
"410",28,"Male","Canada",NA,"No","Yes","Yes","Yes","No","No","No","Don't know","Somewhat easy","No","Don't know","Yes","No","Maybe","No","Yes","No"
"411",24,"Female","United States","NY","Yes","No","No","Yes","No","No","No","Don't know","Very easy","Yes","No","Some of them","No","Yes","Yes","Yes","No"
"412",33,"Male","United States","MS","No","Yes","Yes","Yes","No","No","No","Yes","Somewhat easy","Yes","No","Some of them","Yes","Yes","Yes","Don't know","No"
"413",34,"Male","United States","NJ","No","No","No","Yes","No","No","No","Don't know","Don't know","No","Don't know","Yes","No","Maybe","Maybe","Don't know","No"
"414",27,"Female","United States","CA","No","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","Don't know","Some of them","No","Maybe","No","Don't know","No"
"415",28,"Male","United States","TN","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Don't know","Yes","No","No","No","Don't know","No"
"416",26,"Male","United States","WA","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","Yes","No","No","No","Don't know","Yes"
"417",20,"Male","Australia",NA,"No","No","Yes","Yes","Not sure","Don't know","Don't know","Yes","Very easy","No","Don't know","Yes","No","No","No","Don't know","No"
"418",23,"Female","United States","MA","No","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Yes","Yes","No","No","Maybe","Maybe","Don't know","No"
"419",29,"Male","United States","PA","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Yes","Maybe","No","Maybe","Yes","No"
"420",26,"Male","United Kingdom",NA,"Yes","No","No","Yes","No","No","No","Don't know","Don't know","No","No","No","No","Maybe","Maybe","No","No"
"421",36,"Male","United States","KY","No","No","Yes","Yes","No","Yes","Don't know","Don't know","Somewhat easy","No","Yes","No","No","Maybe","No","Don't know","No"
"422",41,"Male","United States","PA","No","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","Yes","Yes","Yes","Maybe","Maybe","Yes","Yes","Yes"
"423",33,"Female","United States","MA","No","No","Yes","Yes","No","Don't know","No","Don't know","Don't know","No","Yes","Yes","No","No","No","Yes","No"
"424",23,"Male","Canada",NA,"Yes","No","No","Yes","Yes","No","No","Yes","Very easy","Yes","Yes","Yes","No","No","No","Yes","No"
"425",39,"Male","United States","CA","Yes","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Yes","Some of them","No","Yes","Maybe","No","Yes"
"426",34,"Male","United States","VT","Yes","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Yes","Some of them","No","Maybe","Maybe","Don't know","Yes"
"427",26,"Female","United States","CA","No","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","Yes","No","No","Yes"
"428",24,"Male","United States","AZ","No","No","No","Yes","Yes","Yes","No","Don't know","Don't know","Yes","Yes","Yes","No","No","No","Don't know","No"
"429",37,"Male","Canada",NA,"Yes","No","No","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Yes","Some of them","No","Maybe","No","Don't know","No"
"430",43,"Male","United States","MA","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","Yes","Yes","Yes","Maybe","No","Maybe","Yes","No"
"431",40,"Trans","United States","VA","Yes","No","No","Yes","Yes","Yes","Don't know","Yes","Don't know","No","Yes","Some of them","No","Yes","Maybe","Yes","No"
"432",30,"Male","United States","WA","Yes","No","No","Yes","Yes","Yes","No","Don't know","Very difficult","Yes","Yes","No","No","Yes","No","No","Yes"
"433",34,"Male","United States","CA","No","No","No","Yes","Not sure","No","No","Don't know","Don't know","Yes","Don't know","No","No","Yes","No","Don't know","No"
"434",27,"Male","United States","OR","Yes","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","Don't know","No","No","Yes","Yes","Don't know","No"
"435",36,"Male","United States","MI","No","No","No","Yes","No","No","No","Yes","Somewhat easy","No","Don't know","Yes","Maybe","No","Yes","Don't know","No"
"436",27,"Male","Brazil",NA,"No","No","No","Yes","Yes","No","No","Don't know","Somewhat easy","No","No","Some of them","No","Maybe","Maybe","No","No"
"437",35,"Male","Netherlands",NA,"Yes","No","No","Yes","No","No","No","Yes","Don't know","No","Yes","No","No","Yes","Maybe","Don't know","No"
"438",32,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","No","No","No","No","Maybe","Yes","Yes","No"
"439",37,"Male","United States","OR","No","No","No","Yes","No","No","No","Don't know","Don't know","No","Yes","Some of them","No","Maybe","No","Don't know","No"
"440",29,"Male","United Kingdom",NA,"No","No","No","Yes","No","Don't know","Don't know","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Maybe","Yes","No"
"441",33,"Female","United States","CA","No","No","No","Yes","Not sure","Yes","Yes","Don't know","Very easy","No","Yes","Yes","No","Maybe","No","Yes","No"
"442",28,"Male","United States","UT","No","No","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","No","No","No","No","Yes","No","Don't know","No"
"443",26,"Female","United States","CA","Yes","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","No","Don't know","No","No","Maybe","Maybe","No","No"
"444",27,"Male","United States","TX","Yes","No","Yes","Yes","No","Yes","Don't know","Don't know","Somewhat easy","Yes","Don't know","Yes","No","Yes","Maybe","Yes","No"
"445",38,"Male","United Kingdom",NA,"No","Yes","Yes","Yes","No","No","No","Yes","Somewhat easy","Yes","No","Yes","No","Maybe","Maybe","Yes","No"
"446",57,"Male","United States","CA","Yes","No","No","Yes","Yes","No","No","Don't know","Don't know","Yes","Yes","Yes","No","Maybe","Maybe","No","No"
"447",28,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","No","Very difficult","Yes","No","Some of them","No","Yes","Maybe","No","No"
"448",26,"Male","France",NA,"No","No","No","Yes","Yes","No","No","Don't know","Don't know","No","No","Yes","Maybe","Maybe","Maybe","No","No"
"449",42,"Female","Netherlands",NA,"No","No","Yes","Yes","Yes","No","No","Yes","Don't know","Yes","Yes","No","No","Yes","Maybe","Don't know","No"
"450",31,"Male","United States","OR","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Yes","Yes","Yes","No","No","No","Yes","No"
"451",58,"Male","United States","CA","No","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Yes","No","Maybe","Yes","Yes","No"
"452",29,"Male","United States","OH","No","No","No","Yes","No","No","No","Don't know","Very difficult","No","Don't know","No","No","Yes","Maybe","No","No"
"453",39,"Female","United Kingdom",NA,"No","No","No","Yes","Yes","No","Yes","Don't know","Don't know","Yes","Yes","Some of them","No","Yes","Maybe","No","Yes"
"454",34,"Male","United States","OH","No","No","Yes","Yes","No","No","No","Don't know","Very difficult","No","Don't know","Yes","No","Maybe","Maybe","Don't know","No"
"455",57,"Male","United States","CA","No","No","No","Yes","Not sure","Yes","Yes","Don't know","Don't know","Yes","Yes","No","No","Maybe","Maybe","Don't know","No"
"456",27,"Male","Germany",NA,"Yes","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","No","No","No","Yes","No","No","Yes"
"457",23,"Male","Germany",NA,"Yes","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Don't know","Yes","Don't know","Yes","Maybe","No","Yes","Don't know","No"
"458",18,"Male","Finland",NA,"No","No","Yes","No","No","No","Don't know","Don't know","Very easy","No","Don't know","No","No","Yes","Maybe","Don't know","No"
"459",30,"Female","United States","NY","No","No","No","Yes","Not sure","No","No","Don't know","Don't know","No","Don't know","Yes","No","Maybe","Maybe","Don't know","No"
"460",23,"Male","United States","VA","No","No","No","No","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Yes","Yes","No"
"461",43,"Male","United States","CA","No","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","No","No","Yes","Yes","Don't know","No"
"462",18,"Female","United Kingdom",NA,"Yes","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Yes","Don't know","Some of them","Maybe","Maybe","Maybe","Don't know","No"
"463",29,"Male","United States","IL","No","No","No","Yes","Yes","No","No","Don't know","Don't know","Yes","Yes","No","No","Maybe","Maybe","Don't know","No"
"464",48,"Male","United States","TX","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Don't know","No","No","Maybe","Maybe","Don't know","No"
"465",43,"Male","Germany",NA,"No","No","No","No","Yes","Don't know","No","Don't know","Somewhat easy","Yes","No","Some of them","No","Maybe","Yes","No","Yes"
"466",28,"Female","United States","NY","Yes","No","No","Yes","Not sure","No","No","Don't know","Don't know","Yes","Don't know","No","No","Yes","Maybe","Don't know","No"
"467",30,"Male","United States","CA","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","Yes","No","Yes","No","No","No","Yes","No"
"468",26,"Male","Israel","MD","No","No","No","Yes","No","No","No","Yes","Very easy","No","No","Yes","No","Maybe","Maybe","Yes","No"
"469",33,"Male","Italy",NA,"No","No","No","No","No","No","No","Don't know","Don't know","No","No","Some of them","No","Maybe","No","No","No"
"470",31,"Male","United States","CA","No","No","No","Yes","Not sure","Don't know","Don't know","Yes","Don't know","No","Yes","Some of them","No","No","No","Yes","No"
"471",30,"Male","United States","PA","No","No","No","No","Not sure","No","No","Don't know","Don't know","No","Don't know","Some of them","No","No","No","Don't know","No"
"472",27,"Male","Israel",NA,"No","No","No","Yes","No","No","No","Don't know","Somewhat difficult","No","No","No","No","Yes","Maybe","No","Yes"
"473",24,"Female","United States","CA","Yes","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","No","Don't know","Yes"
"474",25,"Male","United States","WA","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","No","No","Maybe","No","Don't know","No"
"475",23,"Female","United States","NY","Yes","No","No","Yes","Not sure","Don't know","No","Don't know","Don't know","Yes","Yes","Some of them","No","Maybe","No","Yes","Yes"
"476",36,"Male","United States","TX","No","No","No","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Yes","No","No","Yes","No","No","Yes"
"477",25,"Female","United States","CA","Yes","Yes","Yes","Yes","Not sure","No","No","Yes","Somewhat difficult","Yes","Don't know","No","No","Yes","Maybe","No","Yes"
"478",54,"Male","United Kingdom",NA,"No","No","Yes","No","Yes","Yes","Yes","Yes","Very easy","Yes","No","Yes","Maybe","No","Maybe","No","No"
"479",34,"Male","Netherlands",NA,"No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","Don't know","Some of them","No","No","Maybe","Yes","No"
"480",38,"Female","United States","AZ","No","No","No","Yes","Yes","No","No","Yes","Don't know","Yes","Yes","No","No","Maybe","No","No","No"
"481",40,"Male","Ireland",NA,"Yes","Yes","No","Yes","No","No","No","No","Don't know","No","No","No","No","Yes","Maybe","No","Yes"
"482",32,"Male","United Kingdom",NA,"No","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","No","No","Maybe","Don't know","No"
